product_id,cluster
1,3,8
2,6,8
3,8,8
4,9,8
5,10,8
6,11,5
7,13,5
8,14,4
9,15,8
10,19,8
11,20,9
12,21,8
13,23,7
14,25,8
15,26,8
16,27,6
17,28,8
18,30,8
19,32,6
20,33,8
21,34,5
22,35,8
23,36,7
24,37,4
25,38,8
26,39,9
27,41,9
28,42,8
29,44,8
30,45,4
31,46,8
32,47,8
33,48,4
34,49,3
35,50,8
36,51,8
37,53,4
38,55,8
39,57,8
40,58,8
41,59,3
42,60,3
43,61,4
44,62,8
45,63,8
46,64,5
47,67,6
48,68,8
49,71,8
50,72,5
51,73,8
52,74,6
53,75,4
54,76,9
55,78,8
56,79,4
57,82,8
58,83,4
59,84,8
60,87,8
61,88,4
62,91,8
63,92,4
64,95,10
65,96,8
66,97,8
67,98,7
68,99,4
69,101,5
70,102,6
71,103,4
72,104,8
73,105,8
74,106,8
75,108,4
76,109,8
77,111,9
78,113,5
79,115,8
80,116,6
81,117,8
82,118,3
83,119,8
84,121,8
85,122,6
86,124,8
87,125,3
88,126,8
89,129,4
90,130,8
91,131,6
92,132,6
93,133,11
94,134,11
95,135,6
96,136,6
97,138,5
98,139,4
99,141,1
100,144,8
101,145,4
102,146,4
103,147,8
104,151,9
105,153,4
106,154,8
107,155,8
108,156,8
109,157,8
110,158,6
111,159,8
112,162,8
113,163,5
114,164,8
115,165,9
116,166,8
117,168,9
118,169,8
119,171,4
120,175,8
121,176,5
122,177,4
123,178,8
124,180,8
125,183,8
126,185,5
127,186,6
128,187,8
129,189,8
130,190,9
131,191,8
132,192,4
133,193,6
134,198,8
135,201,8
136,202,5
137,203,4
138,210,8
139,212,4
140,213,1
141,214,8
142,215,4
143,217,4
144,218,4
145,219,8
146,220,7
147,221,5
148,222,8
149,224,8
150,226,8
151,227,8
152,230,4
153,231,8
154,232,8
155,235,8
156,236,11
157,237,8
158,238,9
159,239,8
160,240,8
161,241,4
162,243,3
163,244,4
164,246,2
165,248,4
166,249,8
167,250,5
168,251,8
169,252,8
170,256,8
171,257,8
172,258,3
173,259,7
174,260,7
175,262,8
176,263,8
177,265,4
178,266,8
179,267,6
180,268,8
181,269,8
182,270,8
183,272,8
184,276,8
185,277,8
186,278,8
187,280,5
188,282,8
189,283,8
190,284,8
191,286,8
192,287,4
193,288,3
194,289,8
195,290,3
196,292,8
197,294,8
198,295,3
199,296,8
200,300,9
201,301,3
202,302,8
203,303,3
204,305,8
205,306,8
206,307,8
207,308,8
208,309,5
209,310,6
210,311,8
211,312,4
212,313,5
213,314,6
